date,home_team,away_team,actual_scoreline,actual_home_goals,actual_away_goals,odds_1,odds_X,odds_2,1X2_H,actual_1X2_H,1X2_D,actual_1X2_D,1X2_A,actual_1X2_A,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-10-04,Parma,Lecce,0-1,0,1,1.83,3.54,4.33,0.3922544532795664,0,0.2988456573017857,0,0.3088998894186477,1,0.8771165638101939,1,0.619290730225822,0,0.6498716566912965,0,0.6718864931179691,0,0.6768653685242255,0,0.6031562194968847,1,0.6170302681606583,1,0.61971443410881,1
2025-10-04,Inter,Cremonese,4-1,4,1,1.18,6.95,14.36,0.5241716371689372,1,0.2386824924356109,0,0.2371458703954518,0,0.9402683926377888,1,0.7713587844664771,1,0.7318512522491302,0,0.7997797159354224,1,0.823462813065211,1,0.6379102954634182,1,0.6574172465779671,1,0.6616485829454429,1
2025-10-04,Atalanta,Como,1-1,1,1,2.18,3.43,3.21,0.4342564434424956,0,0.2530881869901926,1,0.3126553695673115,0,0.9372576536371712,1,0.7631235108086433,1,0.7169148368539573,1,0.7661137390094116,1,0.7811095643863941,1,0.6767440693582295,1,0.7060318170368569,1,0.7133618644097172,1
2025-10-05,Napoli,Genoa,2-1,2,1,1.47,4.0,7.55,0.4968341082505221,1,0.254280694020408,0,0.24888519772907,0,0.9249685417951466,1,0.7301823289342442,1,0.7211506988216145,1,0.7740560067211509,1,0.7906612193605521,1,0.6215749075373682,1,0.6381708854427026,1,0.6415787940692996,1
2025-10-05,Fiorentina,Roma,1-2,1,2,2.94,3.26,2.39,0.3044281865638014,0,0.2916456452043002,0,0.4039261682318985,1,0.8866377410923771,1,0.6396026928460338,1,0.6104829308861847,1,0.625377559065326,1,0.6283276120372995,1,0.6635705219809512,1,0.6889577706726847,1,0.6949941330616163,1
2025-10-05,Juventus,Milan,0-0,0,0,2.63,3.19,2.71,0.429244777211121,0,0.2640066199312336,1,0.3067486028576455,0,0.923293717227502,0,0.7259728605544176,0,0.704481472561025,0,0.7454528251379784,0,0.7570757509479668,0,0.6555194973099999,0,0.6788525768658071,0,0.6842378516272873,0
2025-10-05,Udinese,Cagliari,1-1,1,1,2.17,3.19,3.51,0.3684911898766751,0,0.2982042893475206,1,0.3333045207758042,0,0.8796261853489775,1,0.6245818506760727,1,0.640427484965728,1,0.6604329611541069,1,0.6648101593441241,1,0.6209946488346919,1,0.6374965599248128,1,0.6408786900716218,1
2025-10-05,Bologna,Pisa,4-0,4,0,1.6,3.77,5.86,0.324638958063192,1,0.2542105417173924,0,0.4211505002194156,0,0.9370595120394668,1,0.7625884794128692,1,0.6818728514642266,0,0.7129023960239256,1,0.7208335476133846,1,0.7137558188446268,0,0.7605571306430362,0,0.7745413626084008,0
2025-10-18,Pisa,Verona,0-0,0,0,2.52,3.08,2.94,0.2744133863068299,0,0.3320349318275191,1,0.3935516818656511,0,0.8258576986504327,0,0.5213574460049035,0,0.5273718531124733,0,0.5340414219466754,0,0.5350631998920752,0,0.6080445406047805,0,0.622590944479262,0,0.6254495206463673,0
2025-10-18,Torino,Napoli,1-0,1,0,4.98,3.41,1.77,0.1991711374918305,1,0.292488280274772,0,0.5083405822333974,0,0.8605155529935082,1,0.5854522234967063,0,0.4910881353452276,1,0.4957353662883006,1,0.4963729663736902,1,0.6833599998888715,0,0.7149223536738025,0,0.7230401910672868,0
2025-10-18,Lecce,Sassuolo,0-0,0,0,2.91,3.14,2.51,0.3145099617684733,0,0.2899163990094114,1,0.3955736392221153,0,0.8899970696458475,0,0.646963928850073,0,0.6205679730873566,0,0.6370010889373563,0,0.6403643999813229,0,0.6629299678354621,0,0.6881455554474101,0,0.6941266928289641,0
2025-10-18,Roma,Inter,0-1,0,1,3.24,3.22,2.27,0.3475980541580161,0,0.2877917442304817,0,0.364610201611502,1,0.8946651485790039,1,0.657366795297784,0,0.64440133126547,0,0.6652245308897073,0,0.6698439494943482,0,0.653016622050369,1,0.6757538843239007,1,0.680954350951103,1
2025-10-19,Atalanta,Lazio,0-0,0,0,1.7,3.88,4.59,0.4701384179888248,0,0.2510524525387698,1,0.2788091294724054,0,0.9349745001927592,0,0.7568046307209196,0,0.722386402123571,0,0.7765112880210711,0,0.793658051873399,0,0.6559954662820044,0,0.6794440311264434,0,0.6848653393184775,0
2025-10-19,Genoa,Parma,0-0,0,0,2.1,3.07,3.83,0.3271780627946681,0,0.3027225746882729,1,0.370099362517059,0,0.8729375923060987,0,0.6106172516220392,0,0.6105431741806392,0,0.6254465174288063,0,0.6283988697262682,0,0.6350400493671565,0,0.6539960161036859,0,0.6580677577586924,0
2025-10-19,Milan,Fiorentina,2-1,2,1,1.52,4.16,6.06,0.5077106324107356,1,0.2458131233953301,0,0.2464762441939342,0,0.9344289531371276,1,0.7552451390765179,1,0.7277795173572327,1,0.7883716817899681,1,0.8084882803816362,1,0.634674418533626,1,0.6535614915783727,1,0.6576133983155723,1
2025-10-19,Como,Juventus,2-0,2,0,2.92,3.24,2.43,0.350217380246196,1,0.2878863303543496,0,0.3618962893994544,0,0.8945729947347919,1,0.6571599656924516,1,0.6456741645640353,1,0.6667675977373135,1,0.6714678636770331,1,0.6515917512062173,0,0.6739981778445292,0,0.6790968261273321,0
2025-10-19,Cagliari,Bologna,0-2,0,2,3.54,3.22,2.13,0.4109398407529676,0,0.2771508236588708,0,0.3119093355881616,1,0.906947916358325,1,0.6857010788196354,1,0.684398332368529,0,0.7163406525162811,0,0.7245924185544504,0,0.6382942718196013,1,0.6578763270121404,1,0.6621295493999599,1
2025-10-20,Cremonese,Udinese,1-1,1,1,2.96,3.15,2.44,0.3955790877854463,0,0.2580372276068667,1,0.3463836846076869,0,0.9338125146931592,1,0.7537214585182683,1,0.7040051154600305,1,0.7447143109041633,1,0.7562343869195384,1,0.6869693601539092,1,0.7198821658172483,1,0.7284789906565124,1
